artifact_id,artifact_type,main_or_si,latex_label,latex_reference,claim_or_threat_id,evidence_family,source_notebook,source_result_object,source_analytical_dataset,raw_source_family,output_path,generated_during_current_run,validation_status,scientific_role,necessity_reason
table_si_memorydecay_fits,table,si,tab:si-memorydecay-fits,\ref{tab:si-memorydecay-fits},C7;C8,expected-attention baselines,03,memorydecay_fits.csv; memorydecay_model_comparison.csv,spotify_song_snapshot_excess_attention.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_memorydecay_fits.tex,yes,PASS,"fitted parameters, degeneracy flags, and quantitative model comparison",the expected-value baseline is unauditable without the fitted parameters; comparison columns document the canonical-model choice
table_si_decay_equivalent_audit,table,si,tab:si-decay-equivalent-audit,\ref{tab:si-decay-equivalent-audit},C10,expected-attention baselines,03,decay_equivalent_audit.csv; dormant_integrated_inference.csv,spotify_song_snapshot_excess_attention.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_decay_equivalent_audit.tex,yes,PASS,"documents translation support, dispersion, and inversion validity for every decay-equivalent value in the paper",decay-equivalent numbers are uninterpretable without their estimability diagnostics
table_si_matching_balance,table,si,tab:si-matching-balance,\ref{tab:si-matching-balance},C13,matched song-level comparisons,02-03,song_matching_balance_long.csv; strict_temporal_balance.csv; dormant_reduced_form_balance.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_matching_balance.tex,yes,PASS,covariate-level balance transparency for every song-level matched design,one long-format artifact replaces the per-snapshot-per-design balance table explosion
table_si_matched_excess_inference,table,si,tab:si-matched-excess-inference,\ref{tab:si-matched-excess-inference},C14,matched song-level comparisons,03,matched_excess_inference.csv,spotify_song_snapshot_excess_attention.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_matched_excess_inference.tex,yes,PASS,replacement-aware uncertainty for the pooled matched-excess premium reported in the main text,the main matched-excess interval rests on this dependence-aware inference; no other retained artifact documents it
table_si_dormant_definitions,table,si,tab:si-dormant-definitions,\ref{tab:si-dormant-definitions},C15,lower pre-film excess-attention-song reactivation,03,dormant_reduced_form_placebo.csv,master_song_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/tables/si/table_si_dormant_definitions.tex,yes,PASS,shows the lower pre-film excess-attention signature is not specific to the primary excess-attention definition,"one consolidated table replaces the separate definition-support, results, and bootstrap tables"
table_si_dormant_integrated_inference,table,si,tab:si-dormant-integrated-inference,\ref{tab:si-dormant-integrated-inference},C14;C16,lower pre-film excess-attention-song reactivation,03,dormant_integrated_inference.csv; dormant_definition_support.csv,data/inference replication files; spotify_song_snapshot_excess_attention.csv,stored replication-level inference + Spotify snapshots,outputs/tables/si/table_si_dormant_integrated_inference.tex,yes,PASS,complete audit of the primary integrated lower pre-film excess-attention inference and its support,"the primary lower pre-film excess-attention design is unauditable without assignment stability, bootstrap, exit, translation, reuse, and inversion diagnostics in one place"
figure3_embedding_visibility_temporal,figure,main,fig:embedding-temporal,\ref{fig:embedding-temporal},C17;C18;C19;C20,embedding and visibility; temporal consistency,04,repeated_embedding.csv; repeated_embedding_by_snapshot.csv; visibility.csv; visibility_terciles.csv; event_time.csv; strict_temporal_pooled.csv,spotify_song_snapshot_panel.csv; snapshot_time_respecting_exposures.csv,Spotify snapshots + IMDb + box office,outputs/figures/main/figure3_embedding_visibility_temporal.pdf,yes,PASS,"time-respecting embedding and visibility gradients (terciles visualize shape; the continuous model is the primary visibility estimate, reported in the caption) with temporal consistency checks",the paper's cue-intensity and temporal-evidence figure
table_si_repeated_embedding,table,si,tab:si-repeated-embedding,\ref{tab:si-repeated-embedding},C17,embedding and visibility,04,repeated_embedding.csv,spotify_song_snapshot_panel.csv; snapshot_time_respecting_exposures.csv; lastfm_song_panel.csv,Spotify snapshots + IMDb + Last.fm,outputs/tables/si/table_si_repeated_embedding.tex,yes,PASS,full embedding-gradient evidence including the future-information robustness comparison,the lifetime-versus-realized comparison addresses the reverse-timing threat and appears nowhere else
table_si_visibility_models,table,si,tab:si-visibility-models,\ref{tab:si-visibility-models},C18,embedding and visibility,04,visibility.csv,spotify_song_snapshot_panel.csv; snapshot_time_respecting_exposures.csv,Spotify snapshots + IMDb + box office,outputs/tables/si/table_si_visibility_models.tex,yes,PASS,exact specification and support behind the main visibility coefficient,documents the primary continuous visibility model's inference and support
table_si_visibility_selection,table,si,tab:si-visibility-selection,\ref{tab:si-visibility-selection},C18,embedding and visibility,04,visibility_selection.csv; visibility.csv,spotify_song_snapshot_panel.csv; snapshot_time_respecting_exposures.csv,Spotify snapshots + IMDb + box office,outputs/tables/si/table_si_visibility_selection.tex,yes,PASS,documents realized-box-office availability within the time-respecting film-linked universe; the realized row equals the continuous-model support exactly,box-office missingness is a distinct inferential threat to the visibility gradient
table_si_temporal_event_time,table,si,tab:si-temporal-event-time,\ref{tab:si-temporal-event-time},C19,temporal consistency,04,event_time.csv; event_time_support.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/tables/si/table_si_temporal_event_time.tex,yes,PASS,documents pre-event selection and post-event patterns with per-bin support,the selection-into-placement threat is documented by the pre-event bin and its support
table_si_strict_temporal,table,si,tab:si-strict-temporal,\ref{tab:si-strict-temporal},C20,temporal consistency,03-04,strict_temporal_pooled.csv; strict_temporal_effects.csv,master_song_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/tables/si/table_si_strict_temporal.tex,yes,PASS,"support, cohort decomposition, and randomization inference for the conservative temporal check",the 93-pair design's cohort structure and randomization inference appear nowhere else
figure4_artist_catalog_regimes,figure,main,fig:catalog,\ref{fig:catalog},C21;C23;C24,artist-catalog attention,05,catalog_matching_estimates.csv; catalog_matching_inference.csv; catalog_retention_by_cohort.csv; catalog_retention_pooled.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/figures/main/figure4_artist_catalog_regimes.pdf,yes,PASS,attenuation of the matched catalog premium under prior-attention control and the matched attention change diagnostic with artist-level replacement-aware intervals,shows attenuation after prior-attention matching and inconclusive matched changes among other Billboard songs by the same artists
table_si_catalog_static,table,si,tab:si-catalog-static,\ref{tab:si-catalog-static},C21,artist-catalog attention,05,catalog_static.csv,spotify_song_snapshot_panel.csv; lastfm_song_panel.csv,Spotify snapshots + Last.fm + Billboard,outputs/tables/si/table_si_catalog_static.tex,yes,PASS,single authoritative static catalog regression table across platforms and snapshots,one table replaces the duplicated static-catalog tables of the previous SI
table_si_catalog_dynamic,table,si,tab:si-catalog-dynamic,\ref{tab:si-catalog-dynamic},C22,artist-catalog attention,05,catalog_dynamic.csv; catalog_dynamic_support.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/tables/si/table_si_catalog_dynamic.tex,yes,PASS,documents catalog-level selection (positive pre-event premium) with support,the catalog selection threat is carried by this table alone
table_si_catalog_matching,table,si,tab:si-catalog-matching,\ref{tab:si-catalog-matching},C23,artist-catalog attention,05,catalog_matching_estimates.csv,spotify_song_snapshot_panel.csv; lastfm_song_panel.csv,Spotify snapshots + Last.fm + Billboard,outputs/tables/si/table_si_catalog_matching.tex,yes,PASS,matched catalog estimates and support behind the main catalog figure,carries per-snapshot matched support the main figure reports only graphically
table_si_catalog_balance,table,si,tab:si-catalog-balance,\ref{tab:si-catalog-balance},C23,artist-catalog attention,05,catalog_matching_balance_long.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_catalog_balance.tex,yes,PASS,covariate-level balance transparency for every catalog matched design,one long-format artifact replaces the catalog balance-table explosion
table_si_catalog_matching_inference,table,si,tab:si-catalog-matching-inference,\ref{tab:si-catalog-matching-inference},C23,artist-catalog attention,05,catalog_matching_inference.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_catalog_matching_inference.tex,yes,PASS,replacement-aware qualification of the matched catalog premium,the near-zero August 2022 qualification in the main text rests on this table
figure_si_catalog_event_time_selection,figure,si,fig:si-catalog-event-time-selection,\ref{fig:si-catalog-event-time-selection},C22,artist-catalog attention,05,catalog_dynamic.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/figures/si/figure_si_catalog_event_time_selection.pdf,yes,PASS,"shows that the catalog premium predates the observed event; the positive pre-event coefficient is a selection diagnostic, not an effect",carries the pre-event selection evidence that qualifies the catalog analyses now that the main figure reports the attention-change diagnostic
table_si_catalog_retention,table,si,tab:si-catalog-retention,\ref{tab:si-catalog-retention},C24,artist-catalog attention,05,catalog_retention_by_cohort.csv; catalog_retention_pooled.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/tables/si/table_si_catalog_retention.tex,yes,PASS,cohort-level direct attention-change estimates with artist-level replacement-aware inference and the pooled descriptive summary,the main attention-change diagnostic (Figure 4B) rests on these values; no other artifact documents the artist-level inference
table_si_catalog_retention_loco,table,si,tab:si-catalog-retention-loco,\ref{tab:si-catalog-retention-loco},C24,artist-catalog attention,05,catalog_retention_leave_one_cohort_out.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/tables/si/table_si_catalog_retention_loco.tex,yes,PASS,shows the pooled attention-change summary is not driven by a single cohort and remains inconclusive in every leave-one-out combination,guards the pooled descriptive summary against single-cohort driving
table_si_cluster_inference,table,si,tab:si-cluster-inference,\ref{tab:si-cluster-inference},C24,inference and robustness,02;04;05,pooled_premium_cluster_rows.csv; embedding_visibility_cluster_rows.csv; robustness_cluster_rows.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_cluster_inference.tex,yes,PASS,documents that repeated song-snapshot dependence does not change any pooled conclusion,song-snapshot dependence is a distinct inferential threat for every pooled model
table_si_robustness_summary,table,si,tab:si-robustness-summary,\ref{tab:si-robustness-summary},C25,inference and robustness,05,robustness_cluster_rows.csv,spotify_song_snapshot_panel.csv,Spotify snapshots + Billboard,outputs/tables/si/table_si_robustness_summary.tex,yes,PASS,"one consolidated robustness summary addressing selection, superstar, and catalog-definition threats","replaces the overlapping placebo, superstar-exclusion, and alternative-definition tables"
figure_si_crossplatform_embedding,figure,si,fig:si-crossplatform-embedding,\ref{fig:si-crossplatform-embedding},C17;C6,embedding and visibility,04;05,repeated_embedding.csv,spotify_song_snapshot_panel.csv; lastfm_song_panel.csv,Spotify snapshots + Last.fm + IMDb,outputs/figures/si/figure_si_crossplatform_embedding.pdf,yes,PASS,"monotonic repeated-embedding gradient on both platforms, with time-respecting Spotify exposure and lifetime single-snapshot Last.fm exposure",reveals cross-platform concordance of the monotonic embedding pattern while preserving the different timing semantics of the two platforms; the shape comparison is not readable from separate table rows
figure_si_dormant_rtm,figure,si,fig:si-dormant-rtm,\ref{fig:si-dormant-rtm},C15,lower pre-film excess-attention-song reactivation,03,dormant_reduced_form_placebo.csv,master_song_panel.csv,Spotify snapshots + Billboard + IMDb,outputs/figures/si/figure_si_dormant_rtm.pdf,yes,PASS,raw treated renewal versus matched pseudo-event control renewal and the placebo-adjusted residual across dormancy definitions,"makes the regression-to-the-mean structure visible: it reveals the attenuation from raw renewal to matched-control renewal and the remaining positive film-linked increment across well-powered definitions, which is difficult to read from the table alone"
figure_si_memorydecay_model_comparison,figure,si,fig:si-memorydecay-model-comparison,\ref{fig:si-memorydecay-model-comparison},C7;C8,expected-attention baselines,03,memorydecay_age_means.csv; memorydecay_fits.csv,spotify_song_snapshot_excess_attention.csv,Spotify snapshots + Billboard,outputs/figures/si/figure_si_memorydecay_model_comparison.pdf,yes,PASS,canonical versus exponential and log-normal fits on never-film age means for every snapshot,the canonical-model choice is a theoretically important modeling decision requiring visual diagnostics
figure_si_dormant_pseudoevent,figure,si,fig:si-dormant-pseudoevent,\ref{fig:si-dormant-pseudoevent},C14,lower pre-film excess-attention-song reactivation,03,data/inference/dormant_pseudoevent_monte_carlo_replications.csv,spotify_song_snapshot_excess_attention.csv,stored replication-level inference,outputs/figures/si/figure_si_dormant_pseudoevent.pdf,yes,PASS,distribution of all 500 assignment-specific lower pre-film excess-attention contrasts,pseudo-event integration is part of the primary design; its stability distribution is not visible in any table row alone
figure_si_lastfm_age_profile,figure,si,fig:si-lastfm-age-profile,\ref{fig:si-lastfm-age-profile},C6,platform coverage and attention differences,05,lastfm_age_profile.csv,lastfm_song_panel.csv,Last.fm + Billboard,outputs/figures/si/figure_si_lastfm_age_profile.pdf,yes,PASS,cumulative listener reach by song age showing the non-monotone young-age profile,justifies excluding Last.fm from expected-attention estimation; no table shows the profile shape
